Local time,Open,High,Low,Close,Volume
02.01.2020 21:48:00.000 GMT-0500,2.8063,2.8068,2.8021,2.8050,0.02499999999999999
02.01.2020 22:36:00.000 GMT-0500,2.8043,2.8091,2.8043,2.8075,0.0098
02.01.2020 23:24:00.000 GMT-0500,2.8071,2.8091,2.8032,2.8037,0.0154
03.01.2020 00:12:00.000 GMT-0500,2.8036,2.8068,2.8005,2.8052,0.018599999999999995
03.01.2020 01:00:00.000 GMT-0500,2.8047,2.8047,2.7927,2.7942,0.044100000000000014
03.01.2020 01:48:00.000 GMT-0500,2.7937,2.7961,2.7858,2.7861,0.028300000000000006
03.01.2020 02:36:00.000 GMT-0500,2.7872,2.7881,2.7819,2.7846,0.0382
03.01.2020 03:24:00.000 GMT-0500,2.7851,2.7892,2.7830,2.7881,0.03790000000000001
03.01.2020 04:12:00.000 GMT-0500,2.7875,2.7881,2.7686,2.7721,0.10879999999999998
03.01.2020 05:00:00.000 GMT-0500,2.7716,2.7721,2.7642,2.7661,0.14539999999999997
03.01.2020 05:48:00.000 GMT-0500,2.7668,2.7671,2.7575,2.7607,0.18140000000000003
03.01.2020 06:36:00.000 GMT-0500,2.7603,2.7675,2.7575,2.7667,0.061299999999999986
03.01.2020 07:24:00.000 GMT-0500,2.7668,2.7756,2.7644,2.7751,0.2663
03.01.2020 08:12:00.000 GMT-0500,2.7747,2.7851,2.7747,2.7847,0.4489
03.01.2020 09:00:00.000 GMT-0500,2.7847,2.7956,2.7826,2.7935,0.39569999999999994
03.01.2020 09:48:00.000 GMT-0500,2.7938,2.7943,2.7791,2.7842,0.3639000000000001
03.01.2020 10:36:00.000 GMT-0500,2.7841,2.7886,2.7785,2.7816,0.29890000000000005
03.01.2020 11:24:00.000 GMT-0500,2.7818,2.7871,2.7785,2.7847,0.19589999999999996
03.01.2020 12:12:00.000 GMT-0500,2.7853,2.7883,2.7793,2.7856,0.2019
03.01.2020 13:00:00.000 GMT-0500,2.7863,2.7878,2.7805,2.7841,0.055299999999999995
03.01.2020 13:48:00.000 GMT-0500,2.7835,2.7843,2.7801,2.7801,0.05979999999999999
03.01.2020 14:36:00.000 GMT-0500,2.7811,2.7830,2.7789,2.7797,0.013300000000000003
03.01.2020 15:24:00.000 GMT-0500,2.7798,2.7821,2.7785,2.7808,0.028900000000000002
03.01.2020 16:12:00.000 GMT-0500,2.7803,2.7811,2.7790,2.7796,0.04430000000000002
03.01.2020 17:00:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
03.01.2020 17:48:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
03.01.2020 18:36:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
03.01.2020 19:24:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
03.01.2020 20:12:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
03.01.2020 21:00:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
03.01.2020 21:48:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
03.01.2020 22:36:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
03.01.2020 23:24:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 00:12:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 01:00:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 01:48:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 02:36:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 03:24:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 04:12:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 05:00:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 05:48:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 06:36:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 07:24:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 08:12:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 09:00:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 09:48:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 10:36:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 11:24:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 12:12:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 13:00:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 13:48:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 14:36:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 15:24:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 16:12:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 17:00:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 17:48:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 18:36:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 19:24:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 20:12:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 21:00:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 21:48:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 22:36:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
04.01.2020 23:24:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 00:12:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 01:00:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 01:48:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 02:36:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 03:24:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 04:12:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 05:00:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 05:48:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 06:36:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 07:24:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 08:12:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 09:00:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 09:48:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 10:36:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 11:24:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 12:12:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 13:00:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 13:48:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 14:36:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 15:24:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 16:12:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 17:00:00.000 GMT-0500,2.7796,2.7796,2.7796,2.7796,0
05.01.2020 17:48:00.000 GMT-0500,2.7715,2.7753,2.7669,2.7691,0.16820000000000004
05.01.2020 18:36:00.000 GMT-0500,2.7696,2.7737,2.7675,2.7727,0.18519999999999998
05.01.2020 19:24:00.000 GMT-0500,2.7727,2.7812,2.7727,2.7800,0.07990000000000001
05.01.2020 20:12:00.000 GMT-0500,2.7791,2.7933,2.7785,2.7882,0.05060000000000001
05.01.2020 21:00:00.000 GMT-0500,2.7883,2.7900,2.7855,2.7861,0.08070000000000002
05.01.2020 21:48:00.000 GMT-0500,2.7858,2.7891,2.7851,2.7855,0.06760000000000001
05.01.2020 22:36:00.000 GMT-0500,2.7860,2.7878,2.7852,2.7870,0.021400000000000002
05.01.2020 23:24:00.000 GMT-0500,2.7875,2.7892,2.7862,2.7877,0.020799999999999996
06.01.2020 00:12:00.000 GMT-0500,2.7872,2.7878,2.7835,2.7871,0.027600000000000003
06.01.2020 01:00:00.000 GMT-0500,2.7876,2.7902,2.7771,2.7783,0.0934
06.01.2020 01:48:00.000 GMT-0500,2.7775,2.7797,2.7715,2.7769,0.03640000000000001
06.01.2020 02:36:00.000 GMT-0500,2.7776,2.7785,2.7725,2.7758,0.026799999999999994
06.01.2020 03:24:00.000 GMT-0500,2.7761,2.7766,2.7625,2.7657,0.06360000000000002
06.01.2020 04:12:00.000 GMT-0500,2.7661,2.7711,2.7630,2.7705,0.06980000000000003
06.01.2020 05:00:00.000 GMT-0500,2.7713,2.7721,2.7690,2.7708,0.035500000000000004
06.01.2020 05:48:00.000 GMT-0500,2.7706,2.7743,2.7694,2.7728,0.023599999999999996
06.01.2020 06:36:00.000 GMT-0500,2.7731,2.7738,2.7705,2.7721,0.050800000000000005
06.01.2020 07:24:00.000 GMT-0500,2.7728,2.7821,2.7720,2.7808,0.1789
06.01.2020 08:12:00.000 GMT-0500,2.7811,2.7816,2.7755,2.7782,0.24139999999999998
06.01.2020 09:00:00.000 GMT-0500,2.7778,2.7781,2.7725,2.7761,0.19800000000000006
06.01.2020 09:48:00.000 GMT-0500,2.7753,2.7771,2.7723,2.7741,0.29350000000000015
06.01.2020 10:36:00.000 GMT-0500,2.7743,2.7773,2.7740,2.7762,0.3218999999999999
06.01.2020 11:24:00.000 GMT-0500,2.7763,2.7861,2.7735,2.7853,0.3001000000000001
06.01.2020 12:12:00.000 GMT-0500,2.7852,2.7897,2.7833,2.7881,0.2255
06.01.2020 13:00:00.000 GMT-0500,2.7881,2.7883,2.7845,2.7862,0.0738
06.01.2020 13:48:00.000 GMT-0500,2.7858,2.7861,2.7846,2.7852,0.0113
06.01.2020 14:36:00.000 GMT-0500,2.7853,2.7862,2.7847,2.7853,0.008999999999999998
06.01.2020 15:24:00.000 GMT-0500,2.7861,2.7886,2.7850,2.7886,0.0102
06.01.2020 16:12:00.000 GMT-0500,2.7878,2.7896,2.7865,2.7871,0.0176
06.01.2020 17:00:00.000 GMT-0500,2.7871,2.7871,2.7871,2.7871,0
06.01.2020 17:48:00.000 GMT-0500,2.7867,2.7875,2.7860,2.7865,0.023099999999999996
06.01.2020 18:36:00.000 GMT-0500,2.7875,2.7875,2.7850,2.7866,0.0146
06.01.2020 19:24:00.000 GMT-0500,2.7871,2.7911,2.7865,2.7908,0.0768
06.01.2020 20:12:00.000 GMT-0500,2.7916,2.7963,2.7910,2.7928,0.1386
06.01.2020 21:00:00.000 GMT-0500,2.7928,2.7956,2.7890,2.7901,0.09600000000000002
06.01.2020 21:48:00.000 GMT-0500,2.7900,2.7961,2.7891,2.7958,0.07050000000000001
06.01.2020 22:36:00.000 GMT-0500,2.7962,2.8021,2.7955,2.7968,0.026299999999999994
06.01.2020 23:24:00.000 GMT-0500,2.7967,2.7986,2.7950,2.7961,0.0326
07.01.2020 00:12:00.000 GMT-0500,2.7951,2.7998,2.7940,2.7972,0.05680000000000002
07.01.2020 01:00:00.000 GMT-0500,2.7967,2.8016,2.7960,2.7982,0.0496
07.01.2020 01:48:00.000 GMT-0500,2.7991,2.8011,2.7947,2.7955,0.044400000000000016
07.01.2020 02:36:00.000 GMT-0500,2.7953,2.7953,2.7840,2.7922,0.06199999999999999
07.01.2020 03:24:00.000 GMT-0500,2.7923,2.7971,2.7900,2.7920,0.11009999999999996
07.01.2020 04:12:00.000 GMT-0500,2.7916,2.7925,2.7890,2.7911,0.05820000000000001
07.01.2020 05:00:00.000 GMT-0500,2.7916,2.7950,2.7885,2.7915,0.07710000000000003
07.01.2020 05:48:00.000 GMT-0500,2.7922,2.7928,2.7894,2.7910,0.06580000000000003
07.01.2020 06:36:00.000 GMT-0500,2.7910,2.7921,2.7894,2.7906,0.07709999999999999
07.01.2020 07:24:00.000 GMT-0500,2.7901,2.7968,2.7900,2.7950,0.3001999999999999
07.01.2020 08:12:00.000 GMT-0500,2.7953,2.7976,2.7840,2.7858,0.37859999999999994
07.01.2020 09:00:00.000 GMT-0500,2.7854,2.7896,2.7835,2.7848,0.3393
07.01.2020 09:48:00.000 GMT-0500,2.7845,2.7912,2.7833,2.7856,0.28059999999999996
07.01.2020 10:36:00.000 GMT-0500,2.7858,2.7861,2.7786,2.7841,0.3044
07.01.2020 11:24:00.000 GMT-0500,2.7841,2.7876,2.7812,2.7872,0.22540000000000004
07.01.2020 12:12:00.000 GMT-0500,2.7873,2.7931,2.7866,2.7920,0.28130000000000005
07.01.2020 13:00:00.000 GMT-0500,2.7926,2.7951,2.7918,2.7946,0.10089999999999999
07.01.2020 13:48:00.000 GMT-0500,2.7947,2.7961,2.7945,2.7947,0.0379
07.01.2020 14:36:00.000 GMT-0500,2.7943,2.7975,2.7942,2.7963,0.0036
07.01.2020 15:24:00.000 GMT-0500,2.7961,2.7966,2.7941,2.7947,0.004100000000000001
07.01.2020 16:12:00.000 GMT-0500,2.7953,2.7953,2.7920,2.7938,0.026899999999999997
07.01.2020 17:00:00.000 GMT-0500,2.7938,2.7938,2.7938,2.7938,0
07.01.2020 17:48:00.000 GMT-0500,2.7937,2.7946,2.7819,2.7831,0.21930000000000002
07.01.2020 18:36:00.000 GMT-0500,2.7828,2.7836,2.7694,2.7730,0.4175000000000001
07.01.2020 19:24:00.000 GMT-0500,2.7733,2.7806,2.7611,2.7756,0.2112
07.01.2020 20:12:00.000 GMT-0500,2.7766,2.7896,2.7757,2.7851,0.0602
07.01.2020 21:00:00.000 GMT-0500,2.7844,2.7936,2.7837,2.7913,0.10270000000000004
07.01.2020 21:48:00.000 GMT-0500,2.7915,2.8025,2.7910,2.7967,0.08249999999999999
07.01.2020 22:36:00.000 GMT-0500,2.7975,2.7986,2.7961,2.7966,0.0163
07.01.2020 23:24:00.000 GMT-0500,2.7975,2.7983,2.7960,2.7966,0.0387
08.01.2020 00:12:00.000 GMT-0500,2.7966,2.7972,2.7881,2.7897,0.050499999999999996
08.01.2020 01:00:00.000 GMT-0500,2.7906,2.7971,2.7906,2.7962,0.025800000000000003
08.01.2020 01:48:00.000 GMT-0500,2.7965,2.8061,2.7942,2.7993,0.0486
08.01.2020 02:36:00.000 GMT-0500,2.7998,2.8061,2.7948,2.7968,0.07079999999999999
08.01.2020 03:24:00.000 GMT-0500,2.7969,2.8007,2.7946,2.7963,0.032299999999999995
08.01.2020 04:12:00.000 GMT-0500,2.7971,2.7992,2.7940,2.7969,0.043399999999999994
08.01.2020 05:00:00.000 GMT-0500,2.7976,2.7991,2.7950,2.7979,0.039900000000000005
08.01.2020 05:48:00.000 GMT-0500,2.7976,2.8017,2.7965,2.8002,0.0181
08.01.2020 06:36:00.000 GMT-0500,2.8011,2.8021,2.7985,2.8003,0.0442
08.01.2020 07:24:00.000 GMT-0500,2.8005,2.8106,2.7972,2.8056,0.24920000000000003
08.01.2020 08:12:00.000 GMT-0500,2.8050,2.8101,2.7920,2.7970,0.19309999999999997
08.01.2020 09:00:00.000 GMT-0500,2.7977,2.8026,2.7932,2.7995,0.18670000000000003
08.01.2020 09:48:00.000 GMT-0500,2.7990,2.8025,2.7895,2.7918,0.27380000000000004
08.01.2020 10:36:00.000 GMT-0500,2.7913,2.7951,2.7876,2.7912,0.29359999999999997
08.01.2020 11:24:00.000 GMT-0500,2.7910,2.8056,2.7895,2.8011,0.28880000000000006
08.01.2020 12:12:00.000 GMT-0500,2.7997,2.8123,2.7961,2.8086,0.3616000000000001
08.01.2020 13:00:00.000 GMT-0500,2.8088,2.8111,2.8060,2.8087,0.09240000000000004
08.01.2020 13:48:00.000 GMT-0500,2.8087,2.8093,2.8070,2.8082,0.0325
08.01.2020 14:36:00.000 GMT-0500,2.8080,2.8092,2.8076,2.8086,0.020199999999999992
08.01.2020 15:24:00.000 GMT-0500,2.8093,2.8106,2.8042,2.8057,0.12060000000000003
08.01.2020 16:12:00.000 GMT-0500,2.8066,2.8078,2.8051,2.8071,0.049599999999999984
08.01.2020 17:00:00.000 GMT-0500,2.8071,2.8071,2.8071,2.8071,0
08.01.2020 17:48:00.000 GMT-0500,2.8062,2.8108,2.8061,2.8082,0.034100000000000005
08.01.2020 18:36:00.000 GMT-0500,2.8081,2.8116,2.8076,2.8088,0.0102
08.01.2020 19:24:00.000 GMT-0500,2.8091,2.8125,2.8080,2.8111,0.05709999999999999
08.01.2020 20:12:00.000 GMT-0500,2.8116,2.8150,2.8094,2.8147,0.13790000000000002
08.01.2020 21:00:00.000 GMT-0500,2.8146,2.8161,2.8096,2.8111,0.06350000000000001
08.01.2020 21:48:00.000 GMT-0500,2.8104,2.8133,2.8071,2.8087,0.07310000000000003
08.01.2020 22:36:00.000 GMT-0500,2.8087,2.8126,2.8087,2.8115,0.025900000000000003
08.01.2020 23:24:00.000 GMT-0500,2.8111,2.8156,2.8111,2.8135,0.026000000000000006
09.01.2020 00:12:00.000 GMT-0500,2.8143,2.8146,2.8105,2.8118,0.10060000000000004
09.01.2020 01:00:00.000 GMT-0500,2.8110,2.8123,2.8053,2.8082,0.11789999999999999
09.01.2020 01:48:00.000 GMT-0500,2.8077,2.8161,2.8057,2.8131,0.0569
09.01.2020 02:36:00.000 GMT-0500,2.8121,2.8175,2.8082,2.8093,0.0825
09.01.2020 03:24:00.000 GMT-0500,2.8092,2.8136,2.8050,2.8050,0.0468
09.01.2020 04:12:00.000 GMT-0500,2.8061,2.8066,2.8035,2.8063,0.025399999999999995
09.01.2020 05:00:00.000 GMT-0500,2.8058,2.8086,2.8044,2.8058,0.018299999999999997
09.01.2020 05:48:00.000 GMT-0500,2.8066,2.8111,2.8066,2.8096,0.039700000000000006
09.01.2020 06:36:00.000 GMT-0500,2.8092,2.8111,2.8070,2.8088,0.05870000000000001
09.01.2020 07:24:00.000 GMT-0500,2.8082,2.8088,2.7980,2.8008,0.1527
09.01.2020 08:12:00.000 GMT-0500,2.8007,2.8066,2.8001,2.8051,0.2605
09.01.2020 09:00:00.000 GMT-0500,2.8045,2.8066,2.8007,2.8036,0.26030000000000003
09.01.2020 09:48:00.000 GMT-0500,2.8042,2.8131,2.8035,2.8108,0.2729
09.01.2020 10:36:00.000 GMT-0500,2.8106,2.8108,2.8020,2.8038,0.35109999999999986
09.01.2020 11:24:00.000 GMT-0500,2.8030,2.8041,2.7986,2.7991,0.32239999999999996
09.01.2020 12:12:00.000 GMT-0500,2.7991,2.8016,2.7991,2.7991,0.2372
09.01.2020 13:00:00.000 GMT-0500,2.8003,2.8003,2.7940,2.7956,0.09770000000000004
09.01.2020 13:48:00.000 GMT-0500,2.7950,2.7961,2.7945,2.7950,0.0472
09.01.2020 14:36:00.000 GMT-0500,2.7956,2.7978,2.7952,2.7970,0.011700000000000002
09.01.2020 15:24:00.000 GMT-0500,2.7971,2.7982,2.7955,2.7967,0.007599999999999999
09.01.2020 16:12:00.000 GMT-0500,2.7971,2.7977,2.7961,2.7968,0.023
09.01.2020 17:00:00.000 GMT-0500,2.7968,2.7968,2.7968,2.7968,0
09.01.2020 17:48:00.000 GMT-0500,2.7975,2.7991,2.7967,2.7986,0.020199999999999996
09.01.2020 18:36:00.000 GMT-0500,2.7987,2.7996,2.7972,2.7987,0.023600000000000003
09.01.2020 19:24:00.000 GMT-0500,2.7991,2.8028,2.7981,2.8020,0.016599999999999997
09.01.2020 20:12:00.000 GMT-0500,2.8016,2.8031,2.7971,2.8000,0.10639999999999997
